Feed Ratio,Conversion,Purity,Condenser Duty,Reboiler Duty,Total Energy,Annual Utility Cost
0.5,32.9852863,0.659705725,-1.23083621,1.38177146,2.61260767,714359.08944736
0.6,36.9240305,0.738480611,-1.17463806,1.32526469,2.49990275,685047.63812736
0.7,33.0099423,0.660198846,-1.22677167,1.36637349,2.5931451599999997,706560.05252832
0.7999999999999999,32.5375325,0.650750651,-1.22735391,1.36232088,2.58967479,704535.06246816
0.8999999999999999,31.6696323,0.633392646,-1.22834729,1.35985808,2.58820537,703315.16505184
0.9999999999999999,30.1435299,0.602870598,-1.23013233,1.36002755,2.59015988,703430.1269788801
1.0999999999999999,28.1631873,0.563263746,-1.23315172,1.36313643,2.59628815,705041.5659603201
1.1999999999999997,27.2717503,0.545435007,-1.23512076,1.36531383,2.60043459,706167.74880576
1.2999999999999998,27.0641333,0.541282667,-1.23583027,1.36667829,2.60250856,706864.69124192
1.4,26.9307166,0.538614331,-1.23632594,1.36797383,2.60429977,707523.4514982399
1.4999999999999998,26.8369422,0.536738845,-1.23627167,1.36900255,2.60527422,708039.04297312
1.5999999999999996,26.7396341,0.534792681,-1.2366538,1.37018296,2.60683676,708638.0985536
1.6999999999999997,26.6098049,0.532196098,-1.23691343,1.37007404,2.60698747,708587.75716768
1.7999999999999998,26.4987461,0.529974921,-1.23706763,1.36988279,2.60695042,708494.31505888
1.8999999999999997,26.4065852,0.528131704,-1.23716518,1.3696979,2.60686308,708403.11808448
1.9999999999999996,26.3234907,0.526469815,-1.23730565,1.36965016,2.6069558099999997,708381.4996911999
